clickability_test_id,impressions0,impressions1,clicks0,clicks1
51436079220cb800020008bc,1030,1070,13,13
5143607a220cb800020008bd,2146,2055,60,63
5143607b220cb8000200092a,2694,2677,73,26
5143607c220cb80002000930,2654,2689,20,59
5143607c220cb80002000934,2641,2569,64,37
5143607c220cb80002000939,2711,2602,13,38
5143607c220cb8000200093a,2723,2759,12,33
5143607c220cb8000200093b,2707,2795,48,45
5143607c220cb8000200093e,2600,2625,43,17
5143607c220cb80002000943,2631,2717,39,27
5143607d220cb80002000948,2634,2670,40,45
5143607e220cb8000200095d,2807,2750,49,19
5143607e220cb80002000961,2723,2650,43,21
5143607e220cb80002000964,3202,3269,38,60
5143607e220cb80002000965,3255,3339,46,12
5143607f220cb8000200096a,2907,2814,78,30
5143607f220cb8000200096b,3290,3226,80,37
5143607f220cb8000200096d,2593,2526,41,26
51436080220cb80002000972,3188,3257,47,37
51436081220cb80002000979,2692,2842,19,13
51436081220cb8000200097a,2730,2535,22,16
51436081220cb8000200097b,2774,2672,23,17
51436081220cb8000200097c,2636,2630,30,43
51436081220cb8000200097d,2673,2721,57,38
51436081220cb80002000981,2775,2687,21,7
51436082220cb80002000983,2872,2835,24,22
51436082220cb80002000988,2116,2181,23,25
51436083220cb8000200098f,2820,2994,59,70
51436083220cb80002000990,3753,3677,44,28
51436084220cb80002000994,2773,2929,25,24
51436084220cb80002000995,2294,2159,43,17
51436085220cb80002000998,2354,2334,38,16
51436087220cb800020009a5,2869,2599,21,22
51436087220cb800020009a6,3020,2973,43,45
51436087220cb800020009a7,3814,3624,52,22
51436087220cb800020009a9,2682,2687,74,32
51436087220cb800020009aa,2772,2684,75,69
51436087220cb800020009ab,2746,2762,41,49
51436088220cb800020009ae,2643,2537,27,24
51436088220cb800020009af,2879,2936,43,23
51436088220cb800020009b2,2687,2733,15,30
51436089220cb800020009b4,2725,2661,96,40
51436089220cb800020009b7,2203,2254,34,44
51436089220cb800020009b8,5859,5705,165,232
51436089220cb800020009ba,3042,2947,40,55
51436089220cb800020009bb,4031,3783,12,33
5143608a220cb800020009bc,2465,2489,28,46
5143608a220cb800020009bd,2983,2924,13,14
5143608a220cb800020009bf,2423,2619,34,71
5143608b220cb800020009c9,5366,5211,128,138
5143608b220cb800020009cb,2692,2778,108,101
5143608c220cb800020009d8,2592,2645,64,54
5143608d220cb800020009de,2845,2855,176,112
5143608e220cb800020009e8,2678,2626,22,40
5143608e220cb800020009e9,2650,2713,139,85
5143608e220cb800020009ec,3272,3176,89,79
5143608e220cb800020009f0,2616,2644,66,79
5143608f220cb800020009f5,2697,2667,28,28
5143608f220cb800020009f7,2047,2079,27,37
5143608f220cb800020009fd,2599,2557,71,83
51436090220cb80002000a03,2749,2849,23,75
51436090220cb80002000a05,2554,2605,50,60
51436091220cb80002000a0c,3190,3240,18,32
51436092220cb80002000a1a,2923,3054,47,48
51436092220cb80002000a1d,2728,2606,50,40
51436092220cb80002000a20,2776,2664,64,49
51436093220cb80002000a26,3812,3749,54,55
51436093220cb80002000a27,2894,2881,43,42
51436094220cb80002000a2a,2828,2706,68,52
51436094220cb80002000a2f,2638,2801,92,59
51436095220cb80002000a36,2688,2726,39,32
51436095220cb80002000a3c,2566,2637,34,70
51436096220cb80002000a3f,2659,2663,24,20
51436096220cb80002000a46,2763,2868,16,11
51436097220cb80002000a47,2672,2878,40,42
51436097220cb80002000a48,2811,2836,28,27
51436097220cb80002000a4c,2941,2855,20,15
51436098220cb80002000a55,4104,3852,35,43
51436098220cb80002000a58,2820,2622,47,64
51436e10e5fd63000200107b,4489,4391,135,49
514382b5877a730002002603,844,957,10,13
5147270e579eb3000200aa14,3390,3389,82,91
51475b4730ff7e000200f980,5604,5592,87,84
5147764a30ff7e00020126d1,6973,6844,47,37
514784397c8e020002001304,5494,5716,27,13
514785988367b00002000a91,5689,5694,113,162
514793b50f6dcb0002002a03,7445,7387,64,70
5147c10da53b840002004989,11192,10942,78,85
51489f6a9c79830002013bda,5326,5256,151,126
5148a7e19c79830002014948,7066,6927,56,21
5148a7fba53b840002014adb,2244,2235,89,126
5148c60378ec5400020020d9,4417,4307,31,51
5148cde30abb3100020017ef,5350,5247,92,100
5148d02e54b33c0002002e14,5365,5294,155,137
5148db60cb47730002003b3b,5150,5267,80,66
5148df5478ec540002003e47,4173,4362,79,116
5148e63b0abb3100020033d1,5095,5160,126,35
5148fb4dcb47730002005ec0,5249,5113,84,40
5149276f16194600020089c5,5423,5784,112,35
5149797d03610500020025a4,5506,5508,67,33
514a616a04d0830002001613,2899,2662,35,12
514a64052cf8c70002001771,2722,2638,101,46
514b55680e23a30002005d73,2672,2787,32,20
514b6755974c7b0002000e30,3692,3696,155,92
514b7de7557d620002003631,2723,2819,13,28
51500f3fff58c80002008c89,2663,2533,66,39
515094628116d2000201055f,2683,2768,30,15
5150ca9b6261cf00020036c7,2660,2760,53,28
5150ce5a6261cf0002003df7,2785,2789,42,58
5150d085697351000200426d,3558,3563,30,32
5150fa13f89cca0002007f6c,2713,2715,54,58
51510577487f520002008db2,2676,2630,24,19
515109486973510002009363,2645,2683,31,21
515119ca95b6e1000200a36d,2706,2561,53,20
5151d0eaf89cca0002013afd,2801,2765,37,48
5151ee591e19e80002001d8e,2760,2807,128,113
515202fd891bda0002001095,2743,2769,52,67
51521ed97a1fdc0002003987,2717,2784,50,39
51522872faad69000200469d,2800,2679,19,28
51522a32794bbf00020001f0,2823,2687,45,62
515234a6f71f840002001006,2949,3045,43,64
515241a2f71f840002002159,2768,2897,127,133
5152441a6a8d89000200233c,2846,2973,15,12
51524c61d35635000200370a,3111,3031,8,6
51529fddd35635000200ba1a,2598,2728,40,53
5152b6f3d35635000200c432,2573,2561,62,82
5152f9ba6a8d89000200ff85,2953,2797,57,44
515305a5ee498a000201174c,2900,2928,32,21
51534248f71f84000201d9f7,2903,2906,77,53
51534b106a8d89000201f546,2875,2956,20,23
515492237190e9000200db9f,2857,2899,25,30
51559850767d1300020052f5,2828,2842,64,64
5155a7d544d86200020010fd,2296,2211,74,28
5155c8aa1d3d240002004e91,2811,2893,107,112
5155e76ecf069600020035ca,2716,2723,56,84
515613e58e942100020008c8,2250,2182,41,29
515625b68e94210002001b69,2697,2775,94,115
5157804eb6b1d60002001931,3048,2894,63,76
51591f1b19699d000200495f,2716,2654,45,45
5159bc240009690002005bf2,2925,2930,62,110
5159d97281b53e00020080ae,2804,2745,55,52
515a0dfa81b53e000200bd0d,2722,2693,78,58
515a12f8f6ae2a000200c1f1,2648,2781,19,37
515a29699e3191000200034c,2676,2744,36,35
515a43b09e3191000200207d,2723,2750,49,49
515a9aac4c9a930002001f6d,2456,2648,42,44
515abcedf7ea330002002b11,2702,2703,24,21
515ac4534c9a93000200308c,2775,2606,41,8
515ae3a92b70e40002003184,2786,2839,51,33
515b1dfa15fca600020078a1,2780,2803,79,50
515b283c2b70e400020085a4,2746,2819,82,54
515b7f414c9a93000200fb86,2708,2700,51,56
515bc07214db030002011be2,2623,2559,33,30
515bcdf245702e0002001d6a,2686,2711,56,51
515c24124dc7ca0002003fb7,3161,3136,17,19
515c271a357a91000200390a,2632,2626,33,21
515c2e40c2a7620002002274,3028,2912,49,24
515c58cd8633320002001373,3293,3127,72,51
515c635ad600010002002555,3006,3261,32,36
515c81add600010002005c4d,3039,3102,53,32
515ca54abbd60200020090e9,2913,2824,37,29
515cc5f5bbd602000200bb47,2342,2358,45,26
515ce583863332000200e1e0,2815,2933,69,40
515ce8dc863332000200e58d,2826,2848,64,65
515d197ed600010002010ff7,2621,2848,28,37
515db013c7803a000200149e,2876,2729,62,41
515dd1c1db9628000200392d,3725,3788,95,65
515df94303099b00020067d2,2284,2374,53,21
515efa0316680600020181e8,2937,2850,95,49
515f2090d00f57000200442b,2378,2324,31,41
51630ee4f62aaf00020041a8,3060,3023,43,36
51631287845a2c000200491d,2971,2828,20,57
516334c2457d6f00020035b0,2742,2894,39,16
51633551b458180002008b7b,2711,2668,109,80
5163633d56f8dc0002004315,2899,2880,31,42
51636ecf4bccf700020055b1,2796,2990,10,13
5163a3256891a60002002fca,2987,2997,69,46
5163a7c1f6c13700020032cc,2860,2906,58,46
51643a9c6891a60002009dc5,2763,2772,29,36
516446bff78c01000200b26a,2780,2911,83,14
51644b4537c76c000200b79d,3786,3767,42,39
51646ad76891a6000200e7c8,2906,2739,27,16
5164810f5f77be0002010609,2991,2894,26,27
51649069f78c010002011961,3047,3001,21,42
51649300f6c1370002011c64,2982,3080,57,36
51649cc837c76c0002012c38,2828,2940,47,84
5164a50237c76c00020137ee,2837,2810,30,27
5164a93c37c76c0002013d7b,2909,2837,23,15
5164acf4f6c1370002014210,3812,3817,62,55
5164b7d537c76c0002014f12,2887,2777,15,59
5164bcd8e884fc0002015642,5680,5630,107,81
5164c08ae884fc0002015af0,2757,2785,18,38
5164cf0a6891a60002016af7,2777,2828,42,36
5164f14af2d7ad0002002039,2763,2686,37,14
5164f62af2d7ad000200240f,2645,2895,25,36
5164fa9c671d800002002391,2666,2728,25,36
5165035360b2af0002003093,2689,2697,36,22
516503b160b2af00020030ec,2705,2713,23,35
5165067ea99f150002002d51,2804,2618,61,45
516515781e3cbb000200328a,2744,2608,18,4
51656aeef97c38000200621d,2684,2830,48,59
51657d08ef68510002006d13,2730,2769,48,52
5165c5376f4cfd0002002e26,2756,2676,43,26
5165e9ac9f4c6b00020023e1,2889,2763,72,67
5166586782c2b40002003712,1220,1239,16,15
5166dac74cf6ef00020073bd,2791,2713,51,51
51670076637b250002009b5d,2807,2730,82,51
51683e8e4943bd0002008347,2168,2286,17,20
516872c6c62a9b000200dcb5,3302,3433,39,28
51687e22c62a9b000200ec5c,2714,2819,33,33
516880d2a056a1000200f058,2724,2867,38,25
51688f73c62a9b00020101c5,2788,2757,54,59
516896da97ce0e0002010958,2778,2818,19,21
51689a4aa056a10002010cc1,2869,2717,34,20
51689ca0a056a10002010f32,2155,2227,66,83
516a19ad439940000200cf18,2638,2741,23,41
516a3632f46093000200e008,2645,2634,41,39
516c400e51d31f0002004296,2915,2981,49,27
516c4c19f91aa10002003f17,2838,2742,144,108
516c988f51d31f0002008b0f,2717,2606,53,54
516d5f6c5be5d20002002b1b,2716,2652,44,43
516ddeb1379e750002004893,2664,2720,22,28
516df4ea6528290002001134,2833,2902,26,31
516dfd44accfd300020029c2,2898,2956,38,56
516e0c6f65282900020067b1,2884,2781,13,21
516e14ddf91cf00002008fe5,2835,2989,11,24
516e1e43652829000200c179,2864,2987,31,27
516e3ef59781170002013abb,2804,2816,18,16
516e47bb7c9a590002014fe0,2724,2774,24,31
516e48e8f91cf000020154b5,2605,2770,13,16
516e4d3f9781170002015a99,2708,2704,15,5
516e55326528290002016bce,2672,2609,36,37
516e9da454a3e60002022d5f,2942,2951,25,14
516ec172accfd3000202fc33,2864,2872,31,33
516ec29faccfd30002030402,2873,2737,23,15
516f1dfff9c4b100020135e2,2317,2376,25,11
516f2cc68d86850002016cc6,2925,2973,26,10
5170466c2361b000020001f8,2853,2822,69,78
517050e3e463b30002002209,2608,2624,40,78
5170ac08e9e894000200ee92,2827,2763,26,28
51719d2554e4ca00020269fd,1908,1869,3,2
5171abcc54e4ca0002028451,2744,2748,32,13
5171bdf87ff83000020013f4,2787,2826,95,45
5172d540e1fb95000201a2d5,2358,2493,17,3
51757e400e89d2000200d37d,2751,2652,28,28
5175b5e1162a4e0002002ec1,2795,2755,11,25
5176afd502e6d4000200f626,2717,2774,88,36
5176b343eb5978000200fbb5,3624,3574,16,53
5176b6a937ff320002010120,5540,5328,63,73
5176b8cceb5978000201049a,2719,2673,39,31
5176d0a90c13640002012b30,3659,3769,64,59
5176d2e632738d0002012e19,2768,2745,52,62
5176e54b5bf6d90002015c79,2893,2907,47,41
517724b1835940000200358f,2149,2261,38,55
5177335dd5ad4e0002005cf6,2850,2802,53,51
51776780d5ad4e000200bb94,2595,2604,97,16
517773adfda355000200c6c9,2617,2627,34,56
5177798d373849000200cda0,2252,2238,113,75
517787c1cd57fe000200d6b8,2551,2616,34,39
5177b3a7d5ad4e000200f96a,2722,2750,64,58
5177cc78fda35500020112c8,2714,2676,25,22
5177ea3ffda35500020152c4,2658,2744,78,33
5177fa6d3738490002017740,2738,2717,71,39
517805c2f545960002001c09,2761,2746,44,33
517810203cb1540002003bea,2519,2498,32,67
51781b6771ac6a00020062ef,2754,2610,61,111
517820f37b3bf40002007561,1575,1654,30,26
51783227a7c504000200258a,1459,1527,26,38
51785e51a7c5040002009c9e,2818,2844,78,58
5178641c2580be00020004fb,2754,2797,22,14
5178731bd5d62a000200187a,2763,2702,10,7
51794fc0459201000200662f,2762,2752,51,35
5179690871b12000020038e8,2786,2831,55,68
51798878b88cd2000200d50b,2822,2737,112,219
517991539a93ae000200050c,3144,3170,62,50
517a3172255f780002016bcd,2521,2528,57,72
517aa392edf7800002001aa0,3393,3293,130,159
517ac4ff5f77800002008108,3136,3183,57,40
517aebc2a7615a00020156ff,2775,2847,47,15
517aec0ba7615a0002015891,2632,2872,35,30
517df6148aa3560002005ca4,2846,2874,32,56
517eb297a6c3f100020274a1,2954,3038,46,32
517f02926e4735000204535a,2864,2894,36,21
517f0727a6c3f10002046a30,2954,2993,38,51
517f359346ef8c00020079fd,2811,2840,44,43
517f527b298407000200e9f8,2787,2682,56,41
517fdd644539e6000201b9cc,2829,2821,38,64
51802fdf0c8ab60002032c71,2740,2780,28,12
5180626e4539e6000203819c,2890,2981,18,10
518079a509677a0002000dfc,2811,2745,18,29
518084bff249da0002003bd0,2811,2996,14,34
5180888742e91b000200198b,2842,2921,58,29
5180a9d210ed50000200a605,2769,2649,51,38
5180ad6c7cb8f90002009e50,2666,2712,22,5
5180b91fc0bfaa000200bf05,2644,2660,40,32
518112bf42e91b000200eeb5,2831,2883,73,46
51812b3ec0bfaa00020152fb,2715,2902,88,28
5181976f42e91b000202760d,1569,1508,26,24
5181b54bfe2a40000202f635,2787,2766,57,24
51821ef2b977f0000200ab28,1574,1464,9,30
51825b42b977f0000200f235,2683,2743,22,14
518280c04318710002014923,2967,2891,20,20
5182948cd8485a000201efcd,2857,2845,16,22
5182963cbd2529000202056f,3034,2814,37,21
5182ac2cb977f00002027370,2699,2795,45,24
5182f3cfbd2529000203e968,2287,2341,17,8
5182faa13bf0610002040569,2622,2520,14,20
5183fe564bd0990002031722,2978,2785,20,31
51840037584ba2000203800b,2903,2968,45,56
51898d2b6058740018006c21,2888,2829,10,20
518999733d57a6001a0072e1,2864,2913,9,17
5189c94df760c4001000957e,2792,2804,16,21
5189cc599c7e1f1081000557,2682,2734,74,60
5189d408010e7a1867001a41,2732,2710,52,28
5189df873d57a6208300105f,2693,2773,83,48
5189e3d2ae53b7721e001983,2673,2646,22,18
5189e952605874001800b884,2673,2675,71,44
5189f515605874001000bac1,2622,2618,31,29
5189fe64f760c4290c002231,2151,2118,59,61
518a59129c7e1f47e70072eb,2722,2843,31,18
518a864a9c7e1f1955002d75,2746,2856,26,33
518a8692ae53b77c820041a5,2800,2846,12,10
518a9fd80aae7000160018fa,2820,2878,36,19
518aa6b3ff593b0010002449,2847,2779,20,18
518aa7c5ff593b0010002680,2893,2842,30,25
518aac7850ae387dcc002148,2729,2578,21,38
518ab5680b35101c97003d8e,2805,2706,30,21
518b15310b3510001900c4c6,2955,2881,77,62
518c78e275b01d16030042a5,3127,3087,75,56
518d1fcf58ceed0013000a96,2511,2443,14,24
518d22e06ada4b253501624c,3144,3192,7,26
518d61fd75ff0a001400cb0e,2847,2890,29,22
518d78c31cb52866b10024a2,2908,2802,14,28
51908410aaee3758c60018fb,2116,2174,20,14
51913743262caa65fd009c04,2846,2981,37,113
51913cbaaaee3727200047fc,2865,2887,38,37
51913f73262caa78f100551f,2943,2904,22,31
51914ed5a386be1d24000cfb,2981,2903,27,32
519158d92ef85a103500340a,2896,2905,40,77
51916bbc4a973e4df40007a6,2944,2819,33,24
51917be1bf93231a700016b0,2726,2921,8,30
519298e6f9c5b90018000503,2834,2997,53,54
5192a06ae36cf87029001419,3024,2829,39,14
5192a9ff9df7570010003bf6,2826,3008,90,65
5192cdd5e6b292001700032f,3916,3689,62,114
51933f932b735963450004bf,2718,2667,43,21
5193439aad617a0c34007f1c,2678,2675,10,18
51939c1fe6b2925443000b7e,3247,3123,46,65
5193b8902b05645fbf009561,3140,3115,20,33
5193c2ef950d510014015115,3215,3171,38,53
5193d619ad617a65cb00dfb2,3182,3271,19,12
5193f5136e795b0014022788,3201,3204,63,71
51947f7766ed5b0014002cd3,2665,2692,54,41
51950515849a6f001901671d,2899,2880,19,17
51951b35849a6f001401948a,2897,3000,22,15
5195289a6766e30010001d33,2992,2986,61,73
51953c159a60db0016008ee1,3995,3914,170,124
51956043e22e9c000e0009be,2722,2823,54,28
51958a16f0a3260016001ee2,2910,2774,66,77
5195960d117272000e00354e,2840,2869,77,78
51967a7add1547001100cd14,2733,2669,20,31
519701635a53100012002a5e,2696,2599,35,21
519727acda4f4600120036eb,2471,2729,35,40
5197d085298e880012008363,2522,2647,26,12
5197d08c5a53100012008e90,2788,2575,59,23
5197d096783afe43ad004d75,2082,2185,10,6
5197d09bda4f46000e0082d1,2708,2698,33,12
5197d09c783afe0017008a0e,2692,2751,30,21
5197d09f04322c00120088e3,2631,2728,18,23
5197d0d5783afe0017008a2f,2816,2569,60,26
5197d0eeda4f4600160090b6,2613,2740,73,53
5197d2e2da4f4600160091ac,2692,2679,31,60
5199382a12c1c9000e00182d,2862,2924,67,44
51993868a141840012001924,2760,2849,65,114
51993c2c13212d0011001ca4,2796,2791,49,58
51993d3ba141840012001d40,2896,2851,75,72
51993d83f7b0a90016001e1e,2882,2718,51,35
51993e49b13c120018001ec4,2913,2898,92,106
51993edd13212d0016001d0e,2956,2877,23,22
51993fd713212d000e0022c1,2898,2846,36,57
519a6ba48b2e2f000e01ca96,2855,3023,50,69
519ab6826fe6dc001400a3d2,4943,4979,29,50
519bcbac19712800130027a4,3519,3495,13,10
519d02357f7bed0012002959,3670,3662,17,25
519e5bad58c5a551250033ca,6084,6028,24,36
519e5be4520aa3b223003556,4922,4895,37,22
519e6dbc11569a8c0b00684a,6174,6200,73,82
519e812f58c5a5750b00998d,5808,5870,43,21
519e9fd9ec87ea702600e10a,5735,5760,51,36
519fe645d883d792dc005746,6100,5985,29,37
51a4f7f12cfdb7bd4900063c,2788,3024,14,14
51a50168cf439c368e000ab1,2631,2596,53,31
51a536e592988de5a1000f81,3488,3337,21,78
51a632cf88bc413c3c002572,3519,3575,39,24
51a672c05f6dfb43a7006e7b,4246,4060,61,30
51a69703796ad51c8600a0f5,3478,3454,26,37
51a79ade514cf85b58007aae,3517,3764,90,55
51a7a5d153303bc088008fbd,2025,2032,20,15
51a82b85b41804a9c6015f62,3381,3362,22,19
51a83462514cf876a0016a98,3341,3354,13,12
51a848c4514cf85b580182e3,3367,3263,28,33
51a85df253303bc088019204,2232,2186,12,5
51a8c99c32108d998e000664,4177,4018,28,40
51a8dcd5cb082eea4e003c04,3552,3361,58,26
51a8ecc3272181a547008772,4156,4230,87,88
51a8fa7748662f6f8e00fe4f,4282,4190,96,71
51ac094ae8234f72b4001e04,3416,3386,42,27
51ac889a05c34ca6c90000f4,3457,3328,19,20
51acc43cd6ac9658ba001880,3575,3482,99,86
51ad012313a9d031a6005435,3541,3801,16,19
51ad18c506be07f43a00686a,3477,3790,25,10
51ad1c69d6ac9697db0062dd,3642,3526,28,9
51ad2dccf8c970fa4c00000e,3520,3650,12,21
51ad37267b872fba4900015c,6924,6610,181,147
51ad3ac7dfeaff88370003f5,3526,3641,29,23
51ad3e3d1918ffe5510005fd,3552,3599,30,13
51ad77a77b872fba490025be,3240,3312,8,8
51ade5dc150d969f5d0047d2,3416,3509,21,14
51adfe1dbfda1c28d400005e,3448,3510,12,14
51ae15350ea0ff1b36005f4d,3529,3587,39,28
51ae4547983cae0163000ea1,3669,3577,22,17
51ae49f01918ff4132008302,3652,3454,64,56
51ae8d2fbd9726e3590000be,3480,3424,49,21
51aeaed1d3e945d9e800057d,3458,3485,27,22
51aeb0e132b8714465001468,3261,3315,19,38
51aeb8aa93a06898a2001484,3353,3235,52,31
51aebbebd8dd72f1fa001b39,3729,3397,93,151
51aedc5e9237e7f9d8002bcf,3434,3326,95,45
51af818e7bad160b360021a3,3433,3538,23,37
51af93a37ea0e57e35000153,4644,4671,32,17
51afab0ecf1c20b6d5001022,3503,3423,14,22
51afe44d7ea0e5173f003771,539,493,1,5
51afe612699608741c00379c,3352,3337,20,33
51afed51f12cd06423003b2b,3453,3371,31,22
51affc39c4843b09860042eb,3347,3332,38,30
51b006857ea0e54aaa004993,6639,6813,46,32
51b030bec5804c007b00018f,3483,3415,75,188
51b0a711747eabb681008a37,1648,1644,37,17
51b0aa16bca4fd4abd002527,2291,2206,85,40
51b0d6dbad0ee68c6a005b9b,2859,2912,20,49
51b0d73539cbdbe57100b051,3717,3548,79,98
51b0e3ed39cbdb33f500b6d0,3558,3569,49,28
51b0f9a63285621d8a001c5f,3417,3543,33,18
51b0fcca134e83b396001cc8,60,75,0,0
51b0fdd52189c9768e0017d5,3870,3902,15,25
51b10680134e83cb1d002693,3439,3456,15,15
51b1173f9e0671300a0033d3,1778,1650,9,11
51b1195e134e83b396003d9e,3447,3576,5,24
51b125c69e0671b863004428,3346,3514,18,28
51b131bb9e0671300a004bf1,3492,3478,18,17
51b13d0c39408666bd002948,3483,3464,29,15
51b2018acb3b1e77cb00b1c6,3457,3692,13,6
51b24c5b8635f16790001702,3645,3790,17,12
51b4eda4c0afa822ce0041c1,3336,3404,30,30
51b55051c268eb9c590077d5,2716,2555,8,28
51b64481ce2ff6982f007293,3675,3478,108,40
51b644c7d1debbef0500245a,3492,3617,14,35
51b65adf2b68006c01002260,3619,3583,80,26
51b6601031b5bb4f12008c5c,3548,3512,60,31
51b66e7779253ef06b00927f,3594,3565,39,42
51b67edb5821c9927e009ed4,3568,3466,47,45
51b68443ce2ff62d78009c5d,3510,3445,39,22
51b684a4233f50ad4d00a244,3608,3525,64,44
51b6ad0f94f7bdfbf400b2da,3454,3537,28,24
51b73fe81dd748f53e0025ef,3656,3432,41,27
51b746a680f0ec9620002921,3462,3552,53,28
51b753e61dd7481c53003376,3667,3588,62,31
51b757eab41e33e571003430,3661,3711,62,77
51b76893261f1d920b000140,3592,3501,65,45
51b76d43b991c3ba19000447,3536,3474,24,19
51b77820b716f83df400008e,3582,3525,75,38
51b778c56dfc3c83e600017e,3509,3674,41,55
51b78a12b19feff3a80004eb,3575,3484,45,14
51b78d5d4176604848000968,3591,3504,85,32
51b790c62898ac01b1000d83,3559,3528,43,38
51b796488d3f1f3d41001360,3572,3462,16,16
51b7b23ab3e5ed18b50031df,3415,3565,22,8
51b7b5442898acc2b300342d,3470,3383,34,11
51b7be5bac53563df9003a33,3404,3514,6,18
51b7c5e1ac05f91e9a0041aa,3644,3490,11,38
51b7cdb84176603230004a09,3580,3556,82,19
51b81aacd82557f7d5008677,3364,3332,53,74
51b8660f89003d987400a4e4,3390,3442,21,13
51b88192b19fef32b800ba0a,4731,4836,36,30
51b89524205838b84600ced8,3467,3565,26,22
51b8bd6d01d13666d600dd00,3557,3623,30,31
51b8e01aafebaf8f4500010a,3470,3476,61,81
51b8e27d8ae2301141000647,3612,3491,55,24
51b8e50d8ae230a70e00082a,3411,3512,74,18
51b920191330caab110034dd,3470,3365,28,21
51b92c461330ca237e003e62,3318,3403,20,18
51b92d60cecb777d3a0037ba,3412,3457,22,20
51b93473279a42ee8c002b6a,3448,3323,13,18
51b956aafff91b3dd3004f05,2237,2138,35,57
51b9cd85d5b1ebdfb00073d0,3424,3515,57,29
51b9cea5cecb77685c0073c1,3532,3380,32,54
51b9fdd3bbb4a25e900008f7,4107,4283,44,75
51ba50776bf6aaeae0001db0,3542,3708,21,21
51ba5572ba4bc6bf03006265,3615,3744,22,13
51ba5d95fe3f92b200006abb,2832,2803,65,18
51ba5f72fe3f928aba006f44,3739,3736,32,29
51ba6882ba4bc6366a0071c7,3535,3633,35,19
51ba68ce112e93f2c9003535,3590,3631,26,61
51ba6dfa2a2c06a2810035b2,3616,3724,54,23
51ba6e1cf8afde80710035f7,3684,3543,62,25
51ba6f320ff47632fb003d2e,3545,3715,55,43
51ba6f6ffe3f92b200007889,3585,3822,18,39
51ba703aff3bc6143b003bf6,3763,3737,38,17
51ba75f1ff3bc6143b004039,3557,3609,21,27
51ba7b5239964d5dd9004486,3644,3501,26,27
51ba7b67e2de5ec8d3007b2b,3569,3578,8,13
51ba8ea96bf6aa61b9001fb1,3569,3504,11,16
51baa594968c9215f2005e20,4496,4539,20,40
51baa959bbb4a2145400a088,3351,3301,21,17
51bb7597c82b4ba3b0001760,3421,3377,67,16
51bba37150bea53137000a43,3160,3253,43,37
51bbb0e6bba5705c58000e75,3343,3478,69,50
51bbd002ada764ef3e0000a3,3568,3642,41,37
51bbfe10a34a4242c900307e,3401,3283,57,49
51bdfd50a4c6b548f7004c94,3435,3489,59,85
51be179b8321854be700630f,3427,3520,50,35
51bf2aa8a56983e13000124d,3431,3411,53,78
51bf39e057977704e5006a68,3470,3467,60,89
51bf3fc42e3a822d000033fe,6802,6909,159,222
51bf61bcdbb9a93136000a8c,3396,3419,50,43
51bf73543525a08c180010ba,3385,3421,59,61
51bf7b2e6c9b05016e0008f1,3459,3456,11,25
51bf96007981e1a3fa001fc4,3423,3604,66,54
51bf999b1c668b8c11001581,3444,3518,51,72
51bfa35cb3f46d2f450025cd,3426,3363,24,23
51bfb45c3525a05402002d9a,3484,3586,94,53
